Начало лотереи
Вытянуто число: 2
Вытянуто число: 11
Вытянуто число: 20
Вытянуто число: 16
Вытянуто число: 25
Вытянуто число: 9
Вытянуто число: 5
Вытянуто число: 14
Вытянуто число: 10
Вытянуто число: 19
Вытянуто число: 3
Вытянуто число: 24
Вытянуто число: 8
Вытянуто число: 17
Вытянуто число: 12
Вытянуто число: 21
Вытянуто число: 1
Вытянуто число: 6
Вытянуто число: 15
Вытянуто число: 4
Вытянуто число: 18
Вытянуто число: 23
Вытянуто число: 7
Вытянуто число: 13
Вытянуто число: 22
